ACCOUNTID,CUSTOMERID,ACCOUNTTYPE,ACCOUNTSTATUS,OPENDATE,CLOSEDATE
14749,4749,Checking,Dormant,2018-12-01,2024-11-13
14750,4750,Checking,Dormant,2015-02-26,2024-11-13
14751,4751,Checking,Dormant,2024-01-20,2024-11-13
14752,4752,Savings,Dormant,2022-06-05,2024-11-13
14753,4753,Savings,Dormant,2019-02-06,2024-11-13
14754,4754,Savings,Active,2016-08-30,2024-11-13
14755,4755,Savings,Active,2020-04-03,2024-11-13
14756,4756,Checking,Dormant,2016-10-10,2024-11-13
14757,4757,Savings,Active,2018-02-10,2024-11-13
14758,4758,Checking,Active,2020-07-23,2024-11-13
14759,4759,Checking,Dormant,2020-01-30,2024-11-13
14760,4760,Savings,Active,2021-12-23,2024-11-13
14761,4761,Checking,Active,2016-11-09,2024-11-13
14762,4762,Checking,Active,2021-11-14,2024-11-13
14763,4763,Checking,Dormant,2021-06-08,2024-11-13
14764,4764,Savings,Active,2023-10-14,2024-11-13
14765,4765,Checking,Dormant,2023-06-22,2024-11-13
14766,4766,Checking,Dormant,2016-10-01,2024-11-13
14767,4767,Savings,Dormant,2016-05-14,2024-11-13
14768,4768,Checking,Active,2016-03-07,2024-11-13
14769,4769,Checking,Dormant,2022-06-22,2024-11-13
14770,4770,Savings,Dormant,2022-06-30,2024-11-13
14771,4771,Checking,Dormant,2022-06-11,2024-11-13
14772,4772,Savings,Active,2022-09-16,2024-11-13
14773,4773,Savings,Active,2019-03-02,2024-11-13
14774,4774,Checking,Active,2018-05-14,2024-11-13
14775,4775,Checking,Dormant,2021-11-06,2024-11-13
14776,4776,Savings,Dormant,2015-11-10,
14777,4777,Checking,Dormant,2018-08-22,2024-11-13
14778,4778,Checking,Dormant,2021-10-08,2024-11-13
14779,4779,Savings,Dormant,2016-02-16,2024-11-13
14780,4780,Checking,Dormant,2023-08-19,2024-11-13
14781,4781,Savings,Dormant,2018-09-19,2024-11-13
14782,4782,Checking,Active,2019-07-07,2024-11-13
14783,4783,Checking,Active,2022-06-12,2024-11-13
14784,4784,Savings,Active,2020-03-30,2024-11-13
14785,4785,Checking,Active,2023-03-21,2024-11-13
14786,4786,Checking,Dormant,2016-08-04,2024-11-13
14787,4787,Checking,Active,2015-08-07,2024-11-13
14788,4788,Checking,Active,2019-05-28,2024-11-13
14789,4789,Checking,Active,2015-11-14,2024-11-13
14790,4790,Checking,Active,2015-07-23,2024-11-13
14791,4791,Savings,Active,2024-09-17,2024-11-13
14792,4792,Savings,Active,2019-03-08,2024-11-13
14793,4793,Savings,Dormant,2023-10-29,2024-11-13
14794,4794,Savings,Active,2016-01-15,2024-11-13
14795,4795,Checking,Active,2015-04-14,2024-11-13
14796,4796,Checking,Active,2024-07-02,2024-11-13
14797,4797,Savings,Active,2016-01-29,2024-11-13
14798,4798,Checking,Dormant,2016-12-22,2024-11-13
14799,4799,Checking,Dormant,2020-02-29,2024-11-13
14800,4800,Savings,Dormant,2017-03-24,2024-11-13
14801,4801,Checking,Active,2022-05-13,2024-11-13
14802,4802,Checking,Active,2017-02-16,2024-11-13
14803,4803,Checking,Dormant,2018-02-18,2024-11-13
14804,4804,Checking,Active,2018-11-23,2024-11-13
14805,4805,Checking,Dormant,2019-12-09,2024-11-13
14806,4806,Savings,Dormant,2018-02-05,2024-11-13
14807,4807,Checking,Active,2019-04-17,2024-11-13
14808,4808,Checking,Active,2020-07-16,2024-11-13
14809,4809,Savings,Dormant,2021-05-29,2024-11-13
14810,4810,Savings,Active,2016-10-17,2024-11-13
14811,4811,Checking,Dormant,2023-05-16,2024-11-13
14812,4812,Checking,Active,2024-05-23,2024-11-13
14813,4813,Checking,Active,2018-02-07,2024-11-13
14814,4814,Checking,Active,2016-05-06,2024-11-13
14815,4815,Checking,Dormant,2020-12-07,2024-11-13
14816,4816,Checking,Active,2017-10-13,2024-11-13
14817,4817,Savings,Active,2023-12-24,2024-11-13
14818,4818,Savings,Dormant,2021-05-04,2024-11-13
14819,4819,Checking,Active,2017-05-21,2024-11-13
14820,4820,Savings,Active,2020-10-17,2024-11-13
14821,4821,Checking,Active,2022-05-19,2024-11-13
14822,4822,Checking,Active,2020-07-06,2024-11-13
14823,4823,Checking,Active,2021-08-08,2024-11-13
14824,4824,Checking,Dormant,2017-10-06,2024-11-13
14825,4825,Checking,Dormant,2018-11-19,
14826,4826,Savings,Active,2018-01-20,2024-11-13
14827,4827,Savings,Dormant,2019-12-22,2024-11-13
14828,4828,Checking,Active,2021-01-09,2024-11-13
14829,4829,Savings,Dormant,2015-05-19,2024-11-13
14830,4830,Checking,Dormant,2019-01-07,2024-11-13
14831,4831,Checking,Dormant,2017-04-14,2024-11-13
14832,4832,Savings,Active,2015-06-16,2024-11-13
14833,4833,Savings,Active,2015-03-31,2024-11-13
14834,4834,Savings,Dormant,2019-07-06,2024-11-13
14835,4835,Checking,Dormant,2020-03-06,2024-11-13
14836,4836,Checking,Dormant,2014-11-20,2024-11-13
14837,4837,Savings,Active,2023-10-27,2024-11-13
14838,4838,Checking,Active,2016-01-23,2024-11-13
14839,4839,Savings,Dormant,2019-11-04,2024-11-13
14840,4840,Savings,Dormant,2016-04-05,2024-11-13
14841,4841,Savings,Active,2015-01-10,2024-11-13
14842,4842,Checking,Dormant,2014-12-19,2024-11-13
14843,4843,Savings,Dormant,2018-06-12,2024-11-13
14844,4844,Savings,Active,2017-10-20,2024-11-13
14845,4845,Checking,Active,2020-10-23,2024-11-13
14846,4846,Savings,Active,2022-10-17,2024-11-13
14847,4847,Checking,Active,2017-04-20,2024-11-13
14848,4848,Savings,Active,2021-05-30,
14849,4849,Checking,Active,2023-12-25,2024-11-13
14850,4850,Savings,Active,2023-04-29,2024-11-13
14851,4851,Savings,Dormant,2017-09-13,2024-11-13
14852,4852,Savings,Dormant,2015-04-08,2024-11-13
14853,4853,Savings,Active,2021-04-30,2024-11-13
14854,4854,Savings,Active,2020-06-01,2024-11-13
14855,4855,Savings,Active,2014-11-25,2024-11-13
14856,4856,Checking,Active,2024-06-22,2024-11-13
14857,4857,Checking,Dormant,2018-05-25,2024-11-13
14858,4858,Checking,Active,2023-08-09,2024-11-13
14859,4859,Checking,Active,2020-12-17,2024-11-13
14860,4860,Savings,Dormant,2021-06-08,2024-11-13
14861,4861,Checking,Active,2022-08-29,2024-11-13
14862,4862,Checking,Dormant,2017-02-20,2024-11-13
14863,4863,Savings,Active,2019-06-08,2024-11-13
14864,4864,Savings,Active,2015-10-29,2024-11-13
14865,4865,Savings,Active,2020-06-14,
14866,4866,Savings,Dormant,2020-01-06,2024-11-13
14867,4867,Checking,Dormant,2020-01-29,2024-11-13
14868,4868,Savings,Dormant,2021-10-05,2024-11-13
14869,4869,Savings,Dormant,2023-04-24,2024-11-13
14870,4870,Checking,Active,2017-09-08,2024-11-13
14871,4871,Savings,Active,2015-07-23,2024-11-13
14872,4872,Savings,Active,2023-06-08,2024-11-13
14873,4873,Checking,Active,2017-03-21,2024-11-13
14874,4874,Checking,Dormant,2018-09-18,2024-11-13
14875,4875,Checking,Active,2015-07-15,2024-11-13
14876,4876,Savings,Active,2022-12-26,2024-11-13
14877,4877,Savings,Active,2019-07-30,2024-11-13
14878,4878,Savings,Dormant,2018-03-21,2024-11-13
14879,4879,Checking,Active,2016-01-17,2024-11-13
14880,4880,Savings,Active,2024-09-22,2024-11-13
14881,4881,Savings,Dormant,2017-07-29,2024-11-13
14882,4882,Checking,Dormant,2019-05-16,
14883,4883,Checking,Active,2018-09-03,2024-11-13
14884,4884,Savings,Dormant,2015-05-10,2024-11-13
14885,4885,Checking,Dormant,2015-03-17,2024-11-13
14886,4886,Savings,Active,2019-11-12,2024-11-13
14887,4887,Savings,Dormant,2017-07-28,2024-11-13
14888,4888,Savings,Active,2022-03-09,2024-11-13
14889,4889,Checking,Dormant,2020-01-11,
14890,4890,Checking,Active,2019-02-10,2024-11-13
14891,4891,Savings,Active,2017-04-12,
14892,4892,Savings,Dormant,2015-01-29,2024-11-13
14893,4893,Savings,Active,2022-06-06,2024-11-13
14894,4894,Checking,Dormant,2021-10-03,2024-11-13
14895,4895,Savings,Active,2017-04-12,2024-11-13
14896,4896,Savings,Dormant,2015-04-28,2024-11-13
14897,4897,Checking,Active,2023-03-07,2024-11-13
14898,4898,Checking,Active,2015-08-30,2024-11-13
14899,4899,Checking,Active,2018-08-06,2024-11-13
14900,4900,Savings,Active,2015-03-01,2024-11-13
14901,4901,Savings,Active,2016-10-09,2024-11-13
14902,4902,Savings,Dormant,2021-12-31,2024-11-13
14903,4903,Savings,Active,2016-05-05,2024-11-13
14904,4904,Checking,Dormant,2022-10-23,2024-11-13
14905,4905,Savings,Active,2023-05-10,
14906,4906,Savings,Active,2016-12-31,2024-11-13
14907,4907,Checking,Dormant,2018-04-08,2024-11-13
14908,4908,Savings,Active,2018-08-28,2024-11-13
14909,4909,Checking,Active,2022-02-26,2024-11-13
14910,4910,Savings,Active,2024-06-09,
14911,4911,Checking,Active,2020-06-02,2024-11-13
14912,4912,Savings,Active,2017-04-23,2024-11-13
14913,4913,Checking,Active,2020-07-27,2024-11-13
14914,4914,Checking,Dormant,2018-05-24,2024-11-13
14915,4915,Savings,Dormant,2023-07-06,2024-11-13
14916,4916,Savings,Dormant,2020-11-11,2024-11-13
14917,4917,Savings,Dormant,2017-07-25,
14918,4918,Checking,Active,2019-01-21,2024-11-13
14919,4919,Savings,Active,2017-04-01,2024-11-13
14920,4920,Checking,Active,2019-10-08,
14921,4921,Savings,Dormant,2015-05-04,2024-11-13
14922,4922,Checking,Dormant,2016-05-24,2024-11-13
14923,4923,Savings,Dormant,2016-04-04,2024-11-13
14924,4924,Savings,Dormant,2018-09-18,2024-11-13
14925,4925,Checking,Active,2023-11-04,2024-11-13
14926,4926,Checking,Dormant,2017-03-19,2024-11-13
14927,4927,Checking,Dormant,2016-03-01,2024-11-13
14928,4928,Savings,Dormant,2023-09-03,2024-11-13
14929,4929,Savings,Dormant,2016-12-18,
14930,4930,Checking,Active,2024-02-26,2024-11-13
14931,4931,Checking,Active,2021-06-10,2024-11-13
14932,4932,Savings,Active,2015-09-03,2024-11-13
14933,4933,Savings,Dormant,2023-01-12,2024-11-13
14934,4934,Checking,Dormant,2021-04-26,2024-11-13
14935,4935,Savings,Active,2024-01-27,2024-11-13
14936,4936,Checking,Dormant,2024-09-09,2024-11-13
14937,4937,Checking,Dormant,2018-03-14,
14938,4938,Checking,Dormant,2023-12-22,2024-11-13
14939,4939,Savings,Dormant,2023-10-13,2024-11-13
14940,4940,Savings,Dormant,2020-10-06,2024-11-13
14941,4941,Checking,Dormant,2020-10-26,2024-11-13
14942,4942,Checking,Active,2023-06-02,2024-11-13
14943,4943,Checking,Active,2019-06-06,2024-11-13
14944,4944,Checking,Active,2017-03-31,2024-11-13
14945,4945,Savings,Dormant,2020-05-24,2024-11-13
14946,4946,Savings,Active,2014-12-21,2024-11-13
14947,4947,Checking,Dormant,2016-10-25,2024-11-13
14948,4948,Savings,Dormant,2018-10-14,2024-11-13
14949,4949,Checking,Dormant,2017-07-04,2024-11-13
14950,4950,Checking,Active,2024-02-06,2024-11-13
14951,4951,Checking,Active,2015-03-29,2024-11-13
14952,4952,Checking,Dormant,2017-05-15,2024-11-13
14953,4953,Savings,Active,2017-10-15,2024-11-13
14954,4954,Checking,Active,2016-11-08,2024-11-13
14955,4955,Checking,Active,2017-10-14,
14956,4956,Checking,Dormant,2020-05-27,2024-11-13
14957,4957,Checking,Dormant,2019-12-30,2024-11-13
14958,4958,Checking,Dormant,2016-04-04,2024-11-13
14959,4959,Savings,Active,2021-01-31,2024-11-13
14960,4960,Checking,Dormant,2023-12-06,2024-11-13
14961,4961,Checking,Active,2017-06-19,2024-11-13
14962,4962,Savings,Dormant,2024-09-02,2024-11-13
14963,4963,Checking,Active,2016-10-18,2024-11-13
14964,4964,Checking,Active,2019-03-15,2024-11-13
14965,4965,Checking,Dormant,2016-06-12,2024-11-13
14966,4966,Savings,Dormant,2023-05-15,2024-11-13
14967,4967,Checking,Active,2015-05-25,
14968,4968,Checking,Active,2024-06-15,2024-11-13
14969,4969,Savings,Dormant,2016-08-29,2024-11-13
14970,4970,Checking,Dormant,2022-10-14,2024-11-13
14971,4971,Savings,Active,2022-06-25,2024-11-13
14972,4972,Checking,Dormant,2015-05-18,
14973,4973,Checking,Active,2018-09-30,
14974,4974,Savings,Dormant,2017-07-06,2024-11-13
14975,4975,Checking,Active,2020-01-06,2024-11-13
14976,4976,Savings,Dormant,2020-12-26,2024-11-13
14977,4977,Checking,Active,2021-09-12,2024-11-13
14978,4978,Savings,Dormant,2019-10-31,2024-11-13
14979,4979,Savings,Dormant,2024-08-21,2024-11-13
14980,4980,Checking,Active,2019-09-04,2024-11-13
14981,4981,Savings,Dormant,2015-03-16,2024-11-13
14982,4982,Savings,Active,2015-02-27,2024-11-13
14983,4983,Checking,Active,2022-03-16,2024-11-13
14984,4984,Checking,Dormant,2019-06-12,2024-11-13
14985,4985,Checking,Dormant,2022-11-10,2024-11-13
14986,4986,Checking,Active,2018-01-04,2024-11-13
14987,4987,Checking,Active,2016-05-23,
14988,4988,Savings,Dormant,2023-04-19,2024-11-13
14989,4989,Checking,Dormant,2018-02-20,2024-11-13
14990,4990,Savings,Active,2020-12-15,2024-11-13
14991,4991,Checking,Active,2021-09-07,2024-11-13
14992,4992,Checking,Active,2015-01-06,2024-11-13
14993,4993,Checking,Dormant,2024-10-28,2024-11-13
14994,4994,Checking,Dormant,2021-12-31,2024-11-13
14995,4995,Savings,Dormant,2020-10-08,
14996,4996,Checking,Active,2016-09-15,2024-11-13
14997,4997,Savings,Dormant,2023-10-05,2024-11-13
14998,4998,Checking,Active,2016-06-11,2024-11-13
14999,4999,Checking,Dormant,2024-10-17,
15000,5000,Savings,Active,2016-03-19,2024-11-13
15001,5001,Checking,Dormant,2024-01-10,2024-11-13
15002,5002,Savings,Dormant,2020-01-09,2024-11-13
15003,5003,Checking,Dormant,2020-06-15,2024-11-13
15004,5004,Checking,Active,2016-03-27,2024-11-13
15005,5005,Savings,Active,2023-02-11,2024-11-13
15006,5006,Checking,Dormant,2022-12-06,2024-11-13
15007,5007,Savings,Active,2016-03-22,2024-11-13
15008,5008,Checking,Active,2020-02-09,2024-11-13
15009,5009,Savings,Active,2018-12-05,2024-11-13
15010,5010,Checking,Dormant,2022-07-10,2024-11-13
15011,5011,Savings,Dormant,2017-10-23,2024-11-13
15012,5012,Checking,Dormant,2022-10-13,2024-11-13
15013,5013,Savings,Dormant,2021-08-17,2024-11-13
15014,5014,Savings,Dormant,2017-11-15,2024-11-13
15015,5015,Checking,Dormant,2020-09-23,
15016,5016,Savings,Dormant,2020-03-23,2024-11-13
15017,5017,Checking,Dormant,2017-04-17,2024-11-13
15018,5018,Checking,Active,2018-06-16,2024-11-13
15019,5019,Savings,Dormant,2024-09-29,2024-11-13
15020,5020,Checking,Active,2024-05-17,2024-11-13
15021,5021,Savings,Active,2022-09-21,2024-11-13
15022,5022,Savings,Active,2022-09-30,2024-11-13
15023,5023,Checking,Active,2019-05-03,2024-11-13
15024,5024,Savings,Dormant,2015-07-04,2024-11-13
15025,5025,Savings,Dormant,2018-03-28,2024-11-13
15026,5026,Checking,Dormant,2019-03-14,2024-11-13
15027,5027,Checking,Active,2019-01-30,2024-11-13
15028,5028,Checking,Dormant,2020-08-27,2024-11-13
15029,5029,Checking,Dormant,2023-06-03,2024-11-13
15030,5030,Savings,Active,2023-01-22,2024-11-13
15031,5031,Savings,Active,2019-08-25,2024-11-13
15032,5032,Checking,Active,2021-12-08,2024-11-13
15033,5033,Savings,Active,2019-08-08,
15034,5034,Savings,Dormant,2018-04-22,2024-11-13
15035,5035,Checking,Dormant,2020-04-01,2024-11-13
15036,5036,Savings,Active,2015-10-08,2024-11-13
15037,5037,Checking,Dormant,2022-06-13,
15038,5038,Savings,Dormant,2018-07-13,2024-11-13
15039,5039,Checking,Active,2016-08-28,2024-11-13
15040,5040,Checking,Dormant,2021-06-16,2024-11-13
15041,5041,Savings,Dormant,2020-12-29,2024-11-13
15042,5042,Checking,Dormant,2021-08-02,2024-11-13
15043,5043,Checking,Active,2019-01-30,
15044,5044,Checking,Active,2023-03-22,2024-11-13
15045,5045,Savings,Active,2018-05-23,2024-11-13
15046,5046,Checking,Dormant,2020-05-11,2024-11-13
15047,5047,Checking,Active,2016-02-05,2024-11-13
15048,5048,Checking,Active,2015-01-07,2024-11-13
15049,5049,Checking,Active,2015-01-19,2024-11-13
15050,5050,Checking,Active,2021-02-03,2024-11-13
15051,5051,Checking,Dormant,2016-04-19,2024-11-13
15052,5052,Checking,Active,2020-03-28,
15053,5053,Savings,Dormant,2016-02-25,2024-11-13
15054,5054,Savings,Dormant,2015-10-27,2024-11-13
15055,5055,Checking,Dormant,2023-05-08,2024-11-13
15056,5056,Checking,Active,2022-09-26,
15057,5057,Savings,Active,2021-02-15,2024-11-13
15058,5058,Savings,Active,2017-06-15,2024-11-13
15059,5059,Savings,Active,2015-11-20,2024-11-13
15060,5060,Checking,Dormant,2016-04-08,2024-11-13
15061,5061,Savings,Dormant,2017-01-19,2024-11-13
15062,5062,Checking,Dormant,2024-07-31,2024-11-13
15063,5063,Checking,Dormant,2019-05-21,2024-11-13
15064,5064,Savings,Active,2017-04-16,2024-11-13
15065,5065,Savings,Active,2020-05-02,2024-11-13
15066,5066,Checking,Active,2015-02-12,2024-11-13
15067,5067,Savings,Dormant,2021-11-27,2024-11-13
15068,5068,Savings,Dormant,2022-02-17,2024-11-13
15069,5069,Savings,Active,2019-02-04,2024-11-13
15070,5070,Savings,Dormant,2017-03-08,2024-11-13
15071,5071,Checking,Dormant,2023-05-25,2024-11-13
15072,5072,Checking,Active,2021-11-07,
15073,5073,Savings,Dormant,2020-09-06,2024-11-13
15074,5074,Savings,Dormant,2024-04-29,
15075,5075,Savings,Dormant,2015-08-16,2024-11-13
15076,5076,Checking,Active,2017-01-03,2024-11-13
15077,5077,Savings,Active,2021-02-06,2024-11-13
15078,5078,Savings,Active,2022-08-12,2024-11-13
15079,5079,Checking,Active,2019-12-11,2024-11-13
15080,5080,Checking,Dormant,2016-06-21,2024-11-13
15081,5081,Checking,Active,2016-09-04,2024-11-13
15082,5082,Checking,Active,2016-03-23,2024-11-13
15083,5083,Checking,Active,2015-05-01,2024-11-13
15084,5084,Savings,Active,2017-05-06,2024-11-13
15085,5085,Savings,Active,2020-06-26,2024-11-13
15086,5086,Savings,Dormant,2015-06-08,2024-11-13
15087,5087,Checking,Dormant,2019-01-05,2024-11-13
15088,5088,Checking,Active,2022-04-18,2024-11-13
15089,5089,Savings,Dormant,2018-10-30,2024-11-13
15090,5090,Checking,Active,2022-05-09,2024-11-13
15091,5091,Checking,Dormant,2015-06-02,2024-11-13
15092,5092,Savings,Active,2018-12-05,2024-11-13
15093,5093,Checking,Active,2018-08-03,2024-11-13
15094,5094,Savings,Active,2018-01-08,2024-11-13
15095,5095,Checking,Dormant,2017-04-01,2024-11-13
15096,5096,Checking,Active,2016-07-09,2024-11-13
15097,5097,Checking,Dormant,2017-09-02,2024-11-13
15098,5098,Checking,Active,2018-08-14,2024-11-13
15099,5099,Savings,Dormant,2015-12-17,2024-11-13
15100,5100,Checking,Active,2017-12-08,2024-11-13
15101,5101,Savings,Active,2022-10-10,2024-11-13
15102,5102,Checking,Dormant,2024-10-15,2024-11-13
15103,5103,Checking,Active,2015-06-07,2024-11-13
15104,5104,Checking,Active,2021-03-09,2024-11-13
15105,5105,Checking,Active,2019-06-19,2024-11-13
15106,5106,Savings,Active,2016-07-24,2024-11-13
15107,5107,Checking,Dormant,2023-07-09,2024-11-13
15108,5108,Savings,Active,2022-10-20,
15109,5109,Checking,Dormant,2022-07-28,2024-11-13
15110,5110,Checking,Dormant,2020-01-30,2024-11-13
15111,5111,Checking,Active,2017-02-12,2024-11-13
15112,5112,Checking,Active,2021-09-01,2024-11-13
15113,5113,Savings,Active,2022-09-21,2024-11-13
15114,5114,Checking,Active,2022-06-23,2024-11-13
15115,5115,Checking,Dormant,2018-05-08,2024-11-13
15116,5116,Checking,Active,2018-12-19,2024-11-13
15117,5117,Checking,Dormant,2014-12-12,2024-11-13
15118,5118,Savings,Active,2019-11-13,2024-11-13
15119,5119,Savings,Active,2016-08-06,2024-11-13
15120,5120,Savings,Active,2024-02-15,2024-11-13
15121,5121,Checking,Active,2018-06-22,
15122,5122,Checking,Dormant,2016-07-17,2024-11-13
15123,5123,Checking,Dormant,2017-05-27,2024-11-13
15124,5124,Savings,Dormant,2015-02-20,2024-11-13
15125,5125,Checking,Active,2020-10-13,2024-11-13
15126,5126,Savings,Active,2018-04-28,2024-11-13
15127,5127,Savings,Active,2021-09-28,2024-11-13
15128,5128,Checking,Active,2019-07-29,2024-11-13
15129,5129,Savings,Active,2017-03-08,2024-11-13
15130,5130,Checking,Active,2017-11-30,
15131,5131,Checking,Dormant,2018-10-02,
15132,5132,Checking,Active,2017-10-02,2024-11-13
15133,5133,Savings,Active,2018-11-14,2024-11-13
15134,5134,Savings,Dormant,2021-03-08,2024-11-13
15135,5135,Checking,Active,2022-07-31,2024-11-13
15136,5136,Savings,Dormant,2017-02-19,2024-11-13
15137,5137,Checking,Dormant,2018-05-08,2024-11-13
15138,5138,Checking,Active,2020-06-21,2024-11-13
15139,5139,Checking,Active,2018-01-02,
15140,5140,Savings,Active,2023-06-22,2024-11-13
15141,5141,Checking,Dormant,2023-05-23,2024-11-13
15142,5142,Checking,Dormant,2016-01-31,2024-11-13
15143,5143,Checking,Active,2015-02-17,2024-11-13
15144,5144,Checking,Active,2017-05-19,2024-11-13
15145,5145,Savings,Active,2019-09-07,2024-11-13
15146,5146,Checking,Active,2016-08-30,2024-11-13
15147,5147,Checking,Dormant,2021-08-27,
15148,5148,Checking,Active,2021-01-23,2024-11-13
15149,5149,Savings,Dormant,2021-10-07,2024-11-13
15150,5150,Checking,Active,2014-12-18,2024-11-13
15151,5151,Checking,Dormant,2022-03-16,2024-11-13
15152,5152,Checking,Dormant,2023-07-27,
15153,5153,Savings,Dormant,2016-08-28,
15154,5154,Checking,Active,2024-01-20,2024-11-13
15155,5155,Checking,Dormant,2020-05-03,2024-11-13
15156,5156,Savings,Dormant,2018-02-18,2024-11-13
15157,5157,Savings,Dormant,2020-03-07,2024-11-13
15158,5158,Checking,Active,2019-10-07,2024-11-13
15159,5159,Checking,Active,2019-07-21,2024-11-13
15160,5160,Checking,Dormant,2020-06-30,2024-11-13
15161,5161,Checking,Active,2024-11-12,2024-11-13
15162,5162,Checking,Active,2024-07-08,2024-11-13
15163,5163,Savings,Active,2017-01-21,2024-11-13
15164,5164,Checking,Dormant,2023-02-12,
15165,5165,Checking,Active,2018-02-08,2024-11-13
15166,5166,Savings,Active,2014-12-03,2024-11-13
15167,5167,Checking,Active,2021-10-21,2024-11-13
15168,5168,Checking,Active,2019-09-14,2024-11-13
15169,5169,Savings,Active,2021-12-22,2024-11-13
15170,5170,Checking,Dormant,2015-08-26,2024-11-13
15171,5171,Savings,Active,2023-09-20,2024-11-13
15172,5172,Checking,Active,2017-02-01,2024-11-13
15173,5173,Checking,Active,2022-11-03,2024-11-13
15174,5174,Checking,Dormant,2023-04-14,2024-11-13
15175,5175,Savings,Active,2016-05-13,2024-11-13
15176,5176,Savings,Active,2015-03-08,2024-11-13
15177,5177,Checking,Dormant,2019-05-28,2024-11-13
15178,5178,Checking,Dormant,2023-03-25,2024-11-13
15179,5179,Savings,Dormant,2020-10-24,2024-11-13
15180,5180,Checking,Active,2017-12-04,2024-11-13
15181,5181,Checking,Active,2014-11-19,2024-11-13
15182,5182,Checking,Dormant,2014-12-01,2024-11-13
15183,5183,Savings,Active,2015-12-12,2024-11-13
15184,5184,Savings,Active,2016-04-01,2024-11-13
15185,5185,Checking,Dormant,2024-03-10,2024-11-13
15186,5186,Savings,Active,2024-08-15,2024-11-13
15187,5187,Savings,Active,2018-11-27,2024-11-13
15188,5188,Checking,Dormant,2019-04-01,2024-11-13
15189,5189,Savings,Active,2016-01-14,2024-11-13
15190,5190,Checking,Dormant,2017-09-29,2024-11-13
15191,5191,Savings,Active,2021-06-04,
15192,5192,Savings,Active,2020-09-26,2024-11-13
15193,5193,Savings,Active,2021-08-29,2024-11-13
15194,5194,Checking,Active,2015-12-05,2024-11-13
15195,5195,Savings,Dormant,2023-06-20,
15196,5196,Checking,Active,2024-02-27,2024-11-13
15197,5197,Checking,Dormant,2024-09-29,2024-11-13
15198,5198,Savings,Dormant,2018-02-07,2024-11-13
15199,5199,Savings,Dormant,2023-05-24,2024-11-13
15200,5200,Checking,Active,2015-04-21,2024-11-13
15201,5201,Savings,Active,2016-07-26,2024-11-13
15202,5202,Savings,Active,2017-10-25,2024-11-13
15203,5203,Savings,Active,2018-11-04,2024-11-13
15204,5204,Savings,Active,2019-10-18,
15205,5205,Checking,Active,2018-11-11,2024-11-13
15206,5206,Checking,Dormant,2019-05-20,2024-11-13
15207,5207,Checking,Dormant,2022-05-04,2024-11-13
15208,5208,Checking,Dormant,2023-10-31,2024-11-13
15209,5209,Savings,Dormant,2017-01-26,
15210,5210,Checking,Dormant,2016-05-08,2024-11-13
15211,5211,Checking,Dormant,2023-01-12,2024-11-13
15212,5212,Checking,Active,2020-12-09,2024-11-13
15213,5213,Checking,Active,2024-05-22,2024-11-13
15214,5214,Checking,Active,2019-12-25,2024-11-13
15215,5215,Checking,Active,2022-01-07,2024-11-13
15216,5216,Savings,Active,2016-07-30,2024-11-13
15217,5217,Checking,Dormant,2024-01-04,2024-11-13
15218,5218,Checking,Dormant,2022-02-18,2024-11-13
15219,5219,Checking,Active,2023-09-06,2024-11-13
15220,5220,Checking,Active,2024-08-05,2024-11-13
15221,5221,Savings,Active,2021-04-28,2024-11-13
15222,5222,Checking,Active,2019-06-05,2024-11-13
15223,5223,Savings,Dormant,2023-10-12,2024-11-13
15224,5224,Checking,Dormant,2020-08-23,2024-11-13
15225,5225,Checking,Dormant,2019-04-07,2024-11-13
15226,5226,Savings,Dormant,2022-02-25,2024-11-13
15227,5227,Checking,Active,2015-03-23,2024-11-13
15228,5228,Checking,Dormant,2019-01-28,2024-11-13
15229,5229,Savings,Active,2024-01-26,2024-11-13
15230,5230,Checking,Dormant,2018-02-18,2024-11-13
15231,5231,Savings,Dormant,2019-06-17,2024-11-13
15232,5232,Savings,Active,2022-08-18,2024-11-13
15233,5233,Savings,Active,2020-03-26,2024-11-13
15234,5234,Checking,Active,2024-08-09,2024-11-13
15235,5235,Savings,Active,2016-08-23,2024-11-13
15236,5236,Checking,Dormant,2015-04-19,2024-11-13
15237,5237,Savings,Active,2021-01-24,2024-11-13
15238,5238,Savings,Active,2023-01-23,2024-11-13
15239,5239,Savings,Active,2019-04-17,2024-11-13
15240,5240,Savings,Active,2019-04-07,2024-11-13
15241,5241,Checking,Dormant,2024-08-17,2024-11-13
15242,5242,Savings,Dormant,2017-03-13,2024-11-13
15243,5243,Savings,Active,2016-09-19,2024-11-13
15244,5244,Checking,Dormant,2021-09-04,
15245,5245,Savings,Dormant,2023-03-10,2024-11-13
15246,5246,Savings,Dormant,2015-01-24,2024-11-13
15247,5247,Savings,Active,2024-07-07,2024-11-13
15248,5248,Savings,Dormant,2024-09-13,2024-11-13
15249,5249,Checking,Dormant,2018-11-15,
15250,5250,Savings,Active,2017-03-12,2024-11-13
15251,5251,Checking,Dormant,2020-09-09,2024-11-13
15252,5252,Checking,Dormant,2020-08-29,2024-11-13
15253,5253,Savings,Dormant,2015-07-21,2024-11-13
15254,5254,Checking,Dormant,2021-04-25,2024-11-13
15255,5255,Checking,Dormant,2017-12-27,2024-11-13
15256,5256,Savings,Dormant,2022-12-01,2024-11-13
